Instant,Season,year,dteday,mnth,holiday,weekday,WorkingDay,weathersit,temp,atemp,hum,windspeed
ID-531,Summer,2012,6/14/2012,6,No,4,Yes,Clear,0.648333,0.624383,0.569583,0.253733
ID-532,Summer,2012,6/15/2012,6,No,5,Yes,Clear,0.639167,0.599754,0.589583,0.176617
ID-533,Summer,2012,6/16/2012,6,No,6,No,Clear,0.631667,0.594708,0.504167,0.166667
ID-534,Summer,2012,6/17/2012,6,No,0,No,Clear,0.5925,0.571975,0.59875,0.144904
ID-535,Summer,2012,6/18/2012,6,No,1,Yes,Cloudy,0.568333,0.544842,0.777917,0.174746
ID-536,Summer,2012,6/19/2012,6,No,2,Yes,Clear,0.688333,0.654692,0.69,0.148017
ID-537,Summer,2012,6/20/2012,6,No,3,Yes,Clear,0.7825,0.720975,0.592083,0.113812
ID-538,Fall,2012,6/21/2012,6,No,4,Yes,Clear,0.805833,0.752542,0.567917,0.118787
ID-539,Fall,2012,6/22/2012,6,No,5,Yes,Clear,0.7775,0.724121,0.57375,0.182842
ID-540,Fall,2012,6/23/2012,6,No,6,No,Clear,0.731667,0.652792,0.534583,0.179721
ID-541,Fall,2012,6/24/2012,6,No,0,No,Clear,0.743333,0.674254,0.479167,0.145525
ID-542,Fall,2012,6/25/2012,6,No,1,Yes,Clear,0.715833,0.654042,0.504167,0.300383
ID-543,Fall,2012,6/26/2012,6,No,2,Yes,Clear,0.630833,0.594704,0.373333,0.347642
ID-544,Fall,2012,6/27/2012,6,No,3,Yes,Clear,0.6975,0.640792,0.36,0.271775
ID-545,Fall,2012,6/28/2012,6,No,4,Yes,Clear,0.749167,0.675512,0.4225,0.17165
ID-546,Fall,2012,6/29/2012,6,No,5,Yes,Clear,0.834167,0.786613,0.48875,0.165417
ID-547,Fall,2012,6/30/2012,6,No,6,No,Clear,0.765,0.687508,0.60125,0.161071
ID-548,Fall,2012,7/1/2012,7,No,0,No,Clear,0.815833,0.750629,0.51875,0.168529
ID-549,Fall,2012,7/2/2012,7,No,1,Yes,Clear,0.781667,0.702038,0.447083,0.195267
ID-550,Fall,2012,7/3/2012,7,No,2,Yes,Clear,0.780833,0.70265,0.492083,0.126237
ID-551,Fall,2012,7/4/2012,7,Yes,3,No,Clear,0.789167,0.732337,0.53875,0.13495
ID-552,Fall,2012,7/5/2012,7,No,4,Yes,Clear,0.8275,0.761367,0.457917,0.194029
ID-553,Fall,2012,7/6/2012,7,No,5,Yes,Clear,0.828333,0.752533,0.450833,0.146142
ID-554,Fall,2012,7/7/2012,7,No,6,No,Clear,0.861667,0.804913,0.492083,0.163554
ID-555,Fall,2012,7/8/2012,7,No,0,No,Clear,0.8225,0.790396,0.57375,0.125629
ID-556,Fall,2012,7/9/2012,7,No,1,Yes,Cloudy,0.710833,0.654054,0.683333,0.180975
ID-557,Fall,2012,7/10/2012,7,No,2,Yes,Cloudy,0.720833,0.664796,0.6675,0.151737
ID-558,Fall,2012,7/11/2012,7,No,3,Yes,Clear,0.716667,0.650271,0.633333,0.151733
ID-559,Fall,2012,7/12/2012,7,No,4,Yes,Clear,0.715833,0.654683,0.529583,0.146775
ID-560,Fall,2012,7/13/2012,7,No,5,Yes,Cloudy,0.731667,0.667933,0.485833,0.08085
ID-561,Fall,2012,7/14/2012,7,No,6,No,Cloudy,0.703333,0.666042,0.699167,0.143679
ID-562,Fall,2012,7/15/2012,7,No,0,No,Clear,0.745833,0.705196,0.717917,0.166667
ID-563,Fall,2012,7/16/2012,7,No,1,Yes,Clear,0.763333,0.724125,0.645,0.164187
ID-564,Fall,2012,7/17/2012,7,No,2,Yes,Clear,0.818333,0.755683,0.505833,0.114429
ID-565,Fall,2012,7/18/2012,7,No,3,Yes,Clear,0.793333,0.745583,0.577083,0.137442
ID-566,Fall,2012,7/19/2012,7,No,4,Yes,Clear,0.77,0.714642,0.600417,0.165429
ID-567,Fall,2012,7/20/2012,7,No,5,Yes,Cloudy,0.665833,0.613025,0.844167,0.208967
ID-568,Fall,2012,7/21/2012,7,No,6,No,Light Rain,0.595833,0.549912,0.865417,0.2133
ID-569,Fall,2012,7/22/2012,7,No,0,No,Cloudy,0.6675,0.623125,0.7625,0.0939208
ID-570,Fall,2012,7/23/2012,7,No,1,Yes,Clear,0.741667,0.690017,0.694167,0.138683
ID-571,Fall,2012,7/24/2012,7,No,2,Yes,Clear,0.750833,0.70645,0.655,0.211454
ID-572,Fall,2012,7/25/2012,7,No,3,Yes,Clear,0.724167,0.654054,0.45,0.1648
ID-573,Fall,2012,7/26/2012,7,No,4,Yes,Clear,0.776667,0.739263,0.596667,0.284813
ID-574,Fall,2012,7/27/2012,7,No,5,Yes,Clear,0.781667,0.734217,0.594583,0.152992
ID-575,Fall,2012,7/28/2012,7,No,6,No,Clear,0.755833,0.697604,0.613333,0.15735
ID-576,Fall,2012,7/29/2012,7,No,0,No,Clear,0.721667,0.667933,0.62375,0.170396
ID-577,Fall,2012,7/30/2012,7,No,1,Yes,Clear,0.730833,0.684987,0.66875,0.153617
ID-578,Fall,2012,7/31/2012,7,No,2,Yes,Clear,0.713333,0.662896,0.704167,0.165425
ID-579,Fall,2012,8/1/2012,8,No,3,Yes,Clear,0.7175,0.667308,0.6775,0.141179
ID-580,Fall,2012,8/2/2012,8,No,4,Yes,Clear,0.7525,0.707088,0.659583,0.129354
ID-581,Fall,2012,8/3/2012,8,No,5,Yes,Cloudy,0.765833,0.722867,0.6425,0.215792
ID-582,Fall,2012,8/4/2012,8,No,6,No,Clear,0.793333,0.751267,0.613333,0.257458
ID-583,Fall,2012,8/5/2012,8,No,0,No,Clear,0.769167,0.731079,0.6525,0.290421
ID-584,Fall,2012,8/6/2012,8,No,1,Yes,Cloudy,0.7525,0.710246,0.654167,0.129354
ID-585,Fall,2012,8/7/2012,8,No,2,Yes,Cloudy,0.735833,0.697621,0.70375,0.116908
ID-586,Fall,2012,8/8/2012,8,No,3,Yes,Cloudy,0.75,0.707717,0.672917,0.1107
ID-587,Fall,2012,8/9/2012,8,No,4,Yes,Clear,0.755833,0.699508,0.620417,0.1561
ID-588,Fall,2012,8/10/2012,8,No,5,Yes,Cloudy,0.715833,0.667942,0.715833,0.238813
ID-589,Fall,2012,8/11/2012,8,No,6,No,Cloudy,0.6925,0.638267,0.732917,0.206479
ID-590,Fall,2012,8/12/2012,8,No,0,No,Clear,0.700833,0.644579,0.530417,0.122512
ID-591,Fall,2012,8/13/2012,8,No,1,Yes,Clear,0.720833,0.662254,0.545417,0.136212
ID-592,Fall,2012,8/14/2012,8,No,2,Yes,Clear,0.726667,0.676779,0.686667,0.169158
ID-593,Fall,2012,8/15/2012,8,No,3,Yes,Clear,0.706667,0.654037,0.619583,0.169771
ID-594,Fall,2012,8/16/2012,8,No,4,Yes,Clear,0.719167,0.654688,0.519167,0.141796
ID-595,Fall,2012,8/17/2012,8,No,5,Yes,Clear,0.723333,0.2424,0.570833,0.231354
ID-596,Fall,2012,8/18/2012,8,No,6,No,Clear,0.678333,0.618071,0.603333,0.177867
ID-597,Fall,2012,8/19/2012,8,No,0,No,Cloudy,0.635833,0.603554,0.711667,0.08645
ID-598,Fall,2012,8/20/2012,8,No,1,Yes,Cloudy,0.635833,0.595967,0.734167,0.129979
ID-599,Fall,2012,8/21/2012,8,No,2,Yes,Clear,0.649167,0.601025,0.67375,0.0727708
ID-600,Fall,2012,8/22/2012,8,No,3,Yes,Clear,0.6675,0.621854,0.677083,0.0702833
ID-601,Fall,2012,8/23/2012,8,No,4,Yes,Clear,0.695833,0.637008,0.635833,0.0845958
ID-602,Fall,2012,8/24/2012,8,No,5,Yes,Cloudy,0.7025,0.6471,0.615,0.0721458
ID-603,Fall,2012,8/25/2012,8,No,6,No,Cloudy,0.661667,0.618696,0.712917,0.244408
ID-604,Fall,2012,8/26/2012,8,No,0,No,Cloudy,0.653333,0.595996,0.845833,0.228858
ID-605,Fall,2012,8/27/2012,8,No,1,Yes,Clear,0.703333,0.654688,0.730417,0.128733
ID-606,Fall,2012,8/28/2012,8,No,2,Yes,Clear,0.728333,0.66605,0.62,0.190925
ID-607,Fall,2012,8/29/2012,8,No,3,Yes,Clear,0.685,0.635733,0.552083,0.112562
ID-608,Fall,2012,8/30/2012,8,No,4,Yes,Clear,0.706667,0.652779,0.590417,0.0771167
ID-609,Fall,2012,8/31/2012,8,No,5,Yes,Clear,0.764167,0.6894,0.5875,0.168533
ID-610,Fall,2012,9/1/2012,9,No,6,No,Cloudy,0.753333,0.702654,0.638333,0.113187
ID-611,Fall,2012,9/2/2012,9,No,0,No,Cloudy,0.696667,0.649,0.815,0.0640708
ID-612,Fall,2012,9/3/2012,9,Yes,1,No,Clear,0.7075,0.661629,0.790833,0.151121
ID-613,Fall,2012,9/4/2012,9,No,2,Yes,Clear,0.725833,0.686888,0.755,0.236321
ID-614,Fall,2012,9/5/2012,9,No,3,Yes,Clear,0.736667,0.708983,0.74125,0.187808
ID-615,Fall,2012,9/6/2012,9,No,4,Yes,Cloudy,0.696667,0.655329,0.810417,0.142421
ID-616,Fall,2012,9/7/2012,9,No,5,Yes,Clear,0.703333,0.657204,0.73625,0.171646
ID-617,Fall,2012,9/8/2012,9,No,6,No,Cloudy,0.659167,0.611121,0.799167,0.281104
ID-618,Fall,2012,9/9/2012,9,No,0,No,Clear,0.61,0.578925,0.5475,0.224496
ID-619,Fall,2012,9/10/2012,9,No,1,Yes,Clear,0.583333,0.565654,0.50375,0.258713
ID-620,Fall,2012,9/11/2012,9,No,2,Yes,Clear,0.5775,0.554292,0.52,0.0920542
ID-621,Fall,2012,9/12/2012,9,No,3,Yes,Clear,0.599167,0.570075,0.577083,0.131846
ID-622,Fall,2012,9/13/2012,9,No,4,Yes,Clear,0.6125,0.579558,0.637083,0.0827208
ID-623,Fall,2012,9/14/2012,9,No,5,Yes,Clear,0.633333,0.594083,0.6725,0.103863
ID-624,Fall,2012,9/15/2012,9,No,6,No,Clear,0.608333,0.585867,0.501667,0.247521
ID-625,Fall,2012,9/16/2012,9,No,0,No,Clear,0.58,0.563125,0.57,0.0901833
ID-626,Fall,2012,9/17/2012,9,No,1,Yes,Cloudy,0.580833,0.55305,0.734583,0.151742
ID-627,Fall,2012,9/18/2012,9,No,2,Yes,Cloudy,0.623333,0.565067,0.8725,0.357587
ID-628,Fall,2012,9/19/2012,9,No,3,Yes,Clear,0.5525,0.540404,0.536667,0.215175
ID-629,Fall,2012,9/20/2012,9,No,4,Yes,Clear,0.546667,0.532192,0.618333,0.118167
ID-630,Fall,2012,9/21/2012,9,No,5,Yes,Clear,0.599167,0.571971,0.66875,0.154229
ID-631,Fall,2012,9/22/2012,9,No,6,No,Clear,0.65,0.610488,0.646667,0.283583
ID-632,Winter,2012,9/23/2012,9,No,0,No,Clear,0.529167,0.518933,0.467083,0.223258
ID-633,Winter,2012,9/24/2012,9,No,1,Yes,Clear,0.514167,0.502513,0.492917,0.142404
ID-634,Winter,2012,9/25/2012,9,No,2,Yes,Clear,0.55,0.544179,0.57,0.236321
ID-635,Winter,2012,9/26/2012,9,No,3,Yes,Clear,0.635,0.596613,0.630833,0.2444
ID-636,Winter,2012,9/27/2012,9,No,4,Yes,Cloudy,0.65,0.607975,0.690833,0.134342
ID-637,Winter,2012,9/28/2012,9,No,5,Yes,Cloudy,0.619167,0.585863,0.69,0.164179
ID-638,Winter,2012,9/29/2012,9,No,6,No,Clear,0.5425,0.530296,0.542917,0.227604
ID-639,Winter,2012,9/30/2012,9,No,0,No,Clear,0.526667,0.517663,0.583333,0.134958
ID-640,Winter,2012,10/1/2012,10,No,1,Yes,Cloudy,0.520833,0.512,0.649167,0.0908042
ID-641,Winter,2012,10/2/2012,10,No,2,Yes,Light Rain,0.590833,0.542333,0.871667,0.104475
ID-642,Winter,2012,10/3/2012,10,No,3,Yes,Cloudy,0.6575,0.599133,0.79375,0.0665458
ID-643,Winter,2012,10/4/2012,10,No,4,Yes,Cloudy,0.6575,0.607975,0.722917,0.117546
ID-644,Winter,2012,10/5/2012,10,No,5,Yes,Clear,0.615,0.580187,0.6275,0.10635
ID-645,Winter,2012,10/6/2012,10,No,6,No,Clear,0.554167,0.538521,0.664167,0.268025
ID-646,Winter,2012,10/7/2012,10,No,0,No,Cloudy,0.415833,0.419813,0.708333,0.141162
ID-647,Winter,2012,10/8/2012,10,Yes,1,No,Cloudy,0.383333,0.387608,0.709583,0.189679
ID-648,Winter,2012,10/9/2012,10,No,2,Yes,Cloudy,0.446667,0.438112,0.761667,0.1903
ID-649,Winter,2012,10/10/2012,10,No,3,Yes,Clear,0.514167,0.503142,0.630833,0.187821
ID-650,Winter,2012,10/11/2012,10,No,4,Yes,Clear,0.435,0.431167,0.463333,0.181596
ID-651,Winter,2012,10/12/2012,10,No,5,Yes,Clear,0.4375,0.433071,0.539167,0.235092
ID-652,Winter,2012,10/13/2012,10,No,6,No,Clear,0.393333,0.391396,0.494583,0.146142
ID-653,Winter,2012,10/14/2012,10,No,0,No,Clear,0.521667,0.508204,0.640417,0.278612
ID-654,Winter,2012,10/15/2012,10,No,1,Yes,Cloudy,0.561667,0.53915,0.7075,0.296037
ID-655,Winter,2012,10/16/2012,10,No,2,Yes,Clear,0.468333,0.460846,0.558333,0.182221
ID-656,Winter,2012,10/17/2012,10,No,3,Yes,Clear,0.455833,0.450108,0.692917,0.101371
ID-657,Winter,2012,10/18/2012,10,No,4,Yes,Cloudy,0.5225,0.512625,0.728333,0.236937
ID-658,Winter,2012,10/19/2012,10,No,5,Yes,Cloudy,0.563333,0.537896,0.815,0.134954
ID-659,Winter,2012,10/20/2012,10,No,6,No,Clear,0.484167,0.472842,0.572917,0.117537
ID-660,Winter,2012,10/21/2012,10,No,0,No,Clear,0.464167,0.456429,0.51,0.166054
ID-661,Winter,2012,10/22/2012,10,No,1,Yes,Clear,0.4875,0.482942,0.568333,0.0814833
ID-662,Winter,2012,10/23/2012,10,No,2,Yes,Clear,0.544167,0.530304,0.641667,0.0945458
ID-663,Winter,2012,10/24/2012,10,No,3,Yes,Clear,0.5875,0.558721,0.63625,0.0727792
ID-664,Winter,2012,10/25/2012,10,No,4,Yes,Cloudy,0.55,0.529688,0.800417,0.124375
ID-665,Winter,2012,10/26/2012,10,No,5,Yes,Cloudy,0.545833,0.52275,0.807083,0.132467
ID-666,Winter,2012,10/27/2012,10,No,6,No,Cloudy,0.53,0.515133,0.72,0.235692
ID-667,Winter,2012,10/28/2012,10,No,0,No,Cloudy,0.4775,0.467771,0.694583,0.398008
ID-668,Winter,2012,10/29/2012,10,No,1,Yes,Light Rain,0.44,0.4394,0.88,0.3582
ID-669,Winter,2012,10/30/2012,10,No,2,Yes,Cloudy,0.318182,0.309909,0.825455,0.213009
ID-670,Winter,2012,10/31/2012,10,No,3,Yes,Cloudy,0.3575,0.3611,0.666667,0.166667
ID-671,Winter,2012,11/1/2012,11,No,4,Yes,Cloudy,0.365833,0.369942,0.581667,0.157346
ID-672,Winter,2012,11/2/2012,11,No,5,Yes,Clear,0.355,0.356042,0.522083,0.266175
ID-673,Winter,2012,11/3/2012,11,No,6,No,Cloudy,0.343333,0.323846,0.49125,0.270529
ID-674,Winter,2012,11/4/2012,11,No,0,No,Clear,0.325833,0.329538,0.532917,0.179108
ID-675,Winter,2012,11/5/2012,11,No,1,Yes,Clear,0.319167,0.308075,0.494167,0.236325
ID-676,Winter,2012,11/6/2012,11,No,2,Yes,Clear,0.280833,0.281567,0.567083,0.173513
ID-677,Winter,2012,11/7/2012,11,No,3,Yes,Cloudy,0.295833,0.274621,0.5475,0.304108
ID-678,Winter,2012,11/8/2012,11,No,4,Yes,Clear,0.352174,0.341891,0.333478,0.347835
ID-679,Winter,2012,11/9/2012,11,No,5,Yes,Clear,0.361667,0.355413,0.540833,0.214558
ID-680,Winter,2012,11/10/2012,11,No,6,No,Clear,0.389167,0.393937,0.645417,0.0578458
ID-681,Winter,2012,11/11/2012,11,No,0,No,Clear,0.420833,0.421713,0.659167,0.1275
ID-682,Winter,2012,11/12/2012,11,Yes,1,No,Clear,0.485,0.475383,0.741667,0.173517
ID-683,Winter,2012,11/13/2012,11,No,2,Yes,Cloudy,0.343333,0.323225,0.662917,0.342046
ID-684,Winter,2012,11/14/2012,11,No,3,Yes,Clear,0.289167,0.281563,0.552083,0.199625
ID-685,Winter,2012,11/15/2012,11,No,4,Yes,Cloudy,0.321667,0.324492,0.620417,0.152987
ID-686,Winter,2012,11/16/2012,11,No,5,Yes,Clear,0.345,0.347204,0.524583,0.171025
ID-687,Winter,2012,11/17/2012,11,No,6,No,Clear,0.325,0.326383,0.545417,0.179729
ID-688,Winter,2012,11/18/2012,11,No,0,No,Clear,0.3425,0.337746,0.692917,0.227612
ID-689,Winter,2012,11/19/2012,11,No,1,Yes,Cloudy,0.380833,0.375621,0.623333,0.235067
ID-690,Winter,2012,11/20/2012,11,No,2,Yes,Cloudy,0.374167,0.380667,0.685,0.082725
ID-691,Winter,2012,11/21/2012,11,No,3,Yes,Clear,0.353333,0.364892,0.61375,0.103246
ID-692,Winter,2012,11/22/2012,11,Yes,4,No,Clear,0.34,0.350371,0.580417,0.0528708
ID-693,Winter,2012,11/23/2012,11,No,5,Yes,Clear,0.368333,0.378779,0.56875,0.148021
ID-694,Winter,2012,11/24/2012,11,No,6,No,Clear,0.278333,0.248742,0.404583,0.376871
ID-695,Winter,2012,11/25/2012,11,No,0,No,Clear,0.245833,0.257583,0.468333,0.1505
ID-696,Winter,2012,11/26/2012,11,No,1,Yes,Clear,0.313333,0.339004,0.535417,0.04665
ID-697,Winter,2012,11/27/2012,11,No,2,Yes,Cloudy,0.291667,0.281558,0.786667,0.237562
ID-698,Winter,2012,11/28/2012,11,No,3,Yes,Clear,0.296667,0.289762,0.50625,0.210821
ID-699,Winter,2012,11/29/2012,11,No,4,Yes,Clear,0.28087,0.298422,0.555652,0.115522
ID-700,Winter,2012,11/30/2012,11,No,5,Yes,Clear,0.298333,0.323867,0.649583,0.0584708
ID-701,Winter,2012,12/1/2012,12,No,6,No,Cloudy,0.298333,0.316904,0.806667,0.0597042
ID-702,Winter,2012,12/2/2012,12,No,0,No,Cloudy,0.3475,0.359208,0.823333,0.124379
ID-703,Winter,2012,12/3/2012,12,No,1,Yes,Clear,0.4525,0.455796,0.7675,0.0827208
ID-704,Winter,2012,12/4/2012,12,No,2,Yes,Clear,0.475833,0.469054,0.73375,0.174129
ID-705,Winter,2012,12/5/2012,12,No,3,Yes,Clear,0.438333,0.428012,0.485,0.324021
ID-706,Winter,2012,12/6/2012,12,No,4,Yes,Clear,0.255833,0.258204,0.50875,0.174754
ID-707,Winter,2012,12/7/2012,12,No,5,Yes,Cloudy,0.320833,0.321958,0.764167,0.1306
ID-708,Winter,2012,12/8/2012,12,No,6,No,Cloudy,0.381667,0.389508,0.91125,0.101379
ID-709,Winter,2012,12/9/2012,12,No,0,No,Cloudy,0.384167,0.390146,0.905417,0.157975
ID-710,Winter,2012,12/10/2012,12,No,1,Yes,Cloudy,0.435833,0.435575,0.925,0.190308
ID-711,Winter,2012,12/11/2012,12,No,2,Yes,Cloudy,0.353333,0.338363,0.596667,0.296037
ID-712,Winter,2012,12/12/2012,12,No,3,Yes,Cloudy,0.2975,0.297338,0.538333,0.162937
ID-713,Winter,2012,12/13/2012,12,No,4,Yes,Clear,0.295833,0.294188,0.485833,0.174129
ID-714,Winter,2012,12/14/2012,12,No,5,Yes,Clear,0.281667,0.294192,0.642917,0.131229
ID-715,Winter,2012,12/15/2012,12,No,6,No,Clear,0.324167,0.338383,0.650417,0.10635
ID-716,Winter,2012,12/16/2012,12,No,0,No,Cloudy,0.3625,0.369938,0.83875,0.100742
ID-717,Winter,2012,12/17/2012,12,No,1,Yes,Cloudy,0.393333,0.4015,0.907083,0.0982583
ID-718,Winter,2012,12/18/2012,12,No,2,Yes,Clear,0.410833,0.409708,0.66625,0.221404
ID-719,Winter,2012,12/19/2012,12,No,3,Yes,Clear,0.3325,0.342162,0.625417,0.184092
ID-720,Winter,2012,12/20/2012,12,No,4,Yes,Cloudy,0.33,0.335217,0.667917,0.132463
ID-721,Spring,2012,12/21/2012,12,No,5,Yes,Cloudy,0.326667,0.301767,0.556667,0.374383
ID-722,Spring,2012,12/22/2012,12,No,6,No,Clear,0.265833,0.236113,0.44125,0.407346
ID-723,Spring,2012,12/23/2012,12,No,0,No,Clear,0.245833,0.259471,0.515417,0.133083
ID-724,Spring,2012,12/24/2012,12,No,1,Yes,Cloudy,0.231304,0.2589,0.791304,0.0772304
ID-725,Spring,2012,12/25/2012,12,Yes,2,No,Cloudy,0.291304,0.294465,0.734783,0.168726
ID-726,Spring,2012,12/26/2012,12,No,3,Yes,Light Rain,0.243333,0.220333,0.823333,0.316546
ID-727,Spring,2012,12/27/2012,12,No,4,Yes,Cloudy,0.254167,0.226642,0.652917,0.350133
ID-728,Spring,2012,12/28/2012,12,No,5,Yes,Cloudy,0.253333,0.255046,0.59,0.155471
ID-729,Spring,2012,12/29/2012,12,No,6,No,Cloudy,0.253333,0.2424,0.752917,0.124383
ID-730,Spring,2012,12/30/2012,12,No,0,No,Clear,0.255833,0.2317,0.483333,0.350754
ID-731,Spring,2012,12/31/2012,12,No,1,Yes,Cloudy,0.215833,0.223487,0.5775,0.154846
